path,psnr,ssim,lpips
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4416.png,6.8181,0.0128,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4480.png,6.6812,0.0126,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4544.png,6.7832,0.0129,0.0114
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4608.png,6.7547,0.0129,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4672.png,6.6359,0.0126,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4736.png,6.5292,0.0124,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4800.png,6.6888,0.0127,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4864.png,6.5657,0.0127,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4928.png,6.5116,0.0129,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_4992.png,6.6012,0.0123,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5056.png,6.5089,0.0113,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5120.png,6.3957,0.0121,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5184.png,6.1876,0.0120,0.0113
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5248.png,6.4168,0.0123,0.0114
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5312.png,6.4929,0.0122,0.0113
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5376.png,6.5155,0.0119,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5440.png,6.6454,0.0120,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5504.png,6.4739,0.0128,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5568.png,6.4148,0.0129,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5632.png,6.4983,0.0121,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5696.png,6.4440,0.0122,0.0116
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5760.png,6.4722,0.0124,0.0114
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5824.png,6.5518,0.0124,0.0115
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5888.png,6.3731,0.0118,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_5952.png,6.6974,0.0109,0.0117
dataset_patches\test\ir\S2A_MSIL2A_20230303T053731_R005_T43QBF_20230303T111320_ir_0000_6016.png,6.2589,0.0115,0.0115
